total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
177700.0,-648500.0,-648500,0,0,0,2,0,21,37,254,176,455
148400.0,-677800.0,-677800,0,0,0,0,1,18,30,257,229,465
316200.0,-510000.0,-618700,0,0,1,0,4,24,49,258,199,458
143900.0,-682300.0,-682300,0,0,0,0,1,19,38,243,208,436
154700.0,-671500.0,-671500,0,0,0,0,4,15,33,280,197,461
179600.0,-646600.0,-646600,0,0,0,1,3,29,38,243,199,451
209300.0,-616900.0,-616900,0,0,0,3,1,24,39,264,201,439
153900.0,-672300.0,-672300,0,0,0,0,2,26,44,254,181,459
150400.0,-675800.0,-675800,0,0,0,0,2,17,35,268,198,484
167400.0,-658800.0,-658800,0,0,0,1,1,17,39,263,214,451
170200.0,-656000.0,-656000,0,0,0,1,4,15,26,270,208,432
172300.0,-653900.0,-653900,0,0,0,1,5,12,32,254,187,471
171500.0,-654700.0,-654700,0,0,0,1,1,15,42,268,223,473
319100.0,-507100.0,-583200,0,0,1,1,2,20,35,250,202,457
171400.0,-654800.0,-656200,0,0,0,1,4,17,29,224,216,446
163200.0,-663000.0,-663000,0,0,0,1,0,20,37,262,205,452
167000.0,-659200.0,-659200,0,0,0,1,3,16,40,250,180,452
161300.0,-664900.0,-664900,0,0,0,1,0,17,39,257,204,456
143900.0,-682300.0,-682300,0,0,0,0,0,23,35,257,195,468
168500.0,-657700.0,-657700,0,0,0,1,3,23,28,252,183,451
181600.0,-644600.0,-644600,0,0,0,1,4,29,29,260,203,442
151700.0,-674500.0,-674500,0,0,0,0,2,20,41,245,206,456
195200.0,-631000.0,-631000,0,0,0,2,2,24,39,260,200,464
145400.0,-680800.0,-680800,0,0,0,0,1,19,25,258,214,476
163400.0,-662800.0,-662800,0,0,0,0,4,23,43,259,208,443
149800.0,-676400.0,-676400,0,0,0,0,3,21,30,232,201,456
154700.0,-671500.0,-671500,0,0,0,0,3,18,37,255,203,474
148800.0,-677400.0,-677400,0,0,0,0,1,16,39,236,227,474
149500.0,-676700.0,-676700,0,0,0,0,2,18,41,266,186,469
162500.0,-663700.0,-663700,0,0,0,1,2,14,34,274,195,433
333700.0,-492500.0,-604500,0,0,1,1,6,17,34,249,216,444
335000.0,-491200.0,-580100,0,0,1,1,6,18,39,261,212,425
169500.0,-656700.0,-656700,0,0,0,1,1,18,41,270,201,475
160600.0,-665600.0,-665600,0,0,0,0,6,18,34,222,193,478
161200.0,-665000.0,-665000,0,0,0,0,4,22,41,238,216,442
148200.0,-678000.0,-678000,0,0,0,0,2,24,32,264,178,462
156000.0,-670200.0,-670200,0,0,0,0,3,21,43,254,186,474
150400.0,-675800.0,-675800,0,0,0,0,4,15,30,254,188,474
154200.0,-672000.0,-672000,0,0,0,0,1,26,46,259,198,455
151000.0,-675200.0,-675200,0,0,0,0,1,26,40,250,194,464
152000.0,-674200.0,-674200,0,0,0,0,1,18,48,291,193,467
163500.0,-662700.0,-662700,0,0,0,0,7,14,38,256,199,437
154400.0,-671800.0,-671800,0,0,0,0,4,16,38,250,205,444
156400.0,-669800.0,-669800,0,0,0,0,3,25,34,267,202,437
300500.0,-525700.0,-525700,0,0,1,0,3,15,30,259,214,458
157700.0,-668500.0,-668500,0,0,0,0,3,24,28,280,215,443
146600.0,-679600.0,-679600,0,0,0,0,2,20,31,280,184,454
144100.0,-682100.0,-682100,0,0,0,0,0,16,46,238,220,451
172000.0,-654200.0,-654200,0,0,0,1,4,17,31,255,200,445
158600.0,-667600.0,-667600,0,0,0,0,3,24,38,241,216,449
142700.0,-683500.0,-683500,0,0,0,0,2,17,39,246,189,431
161700.0,-664500.0,-664500,0,0,0,0,6,13,39,268,197,455
160200.0,-666000.0,-666000,0,0,0,0,5,16,39,229,237,415
180900.0,-645300.0,-645300,0,0,0,1,3,25,37,235,225,456
151300.0,-674900.0,-674900,0,0,0,0,3,16,36,240,217,447
169800.0,-656400.0,-656400,0,0,0,1,1,22,33,281,214,441
152200.0,-674000.0,-674000,0,0,0,0,1,24,45,247,189,485
159100.0,-667100.0,-667100,0,0,0,0,3,21,42,272,193,477
188800.0,-637400.0,-637400,0,0,0,1,5,22,40,266,218,450
154400.0,-671800.0,-671800,0,0,0,0,4,18,45,245,192,431
152300.0,-673900.0,-673900,0,0,0,0,3,11,42,254,227,439
154100.0,-672100.0,-672100,0,0,0,0,4,16,28,270,215,441
161200.0,-665000.0,-665000,0,0,0,0,3,21,53,273,198,443
181500.0,-644700.0,-662300,0,0,0,1,3,30,32,253,197,480
174100.0,-652100.0,-652100,0,0,0,1,3,17,41,256,214,437
148700.0,-677500.0,-677500,0,0,0,0,2,20,33,255,206,448
170600.0,-655600.0,-655600,0,0,0,1,1,19,38,271,219,453
151600.0,-674600.0,-674600,0,0,0,0,2,20,33,281,190,483
146000.0,-680200.0,-680200,0,0,0,0,1,19,41,263,193,455
169300.0,-656900.0,-656900,0,0,0,1,1,17,53,276,186,457
163500.0,-662700.0,-662700,0,0,0,0,4,22,43,249,209,460
163100.0,-663100.0,-663100,0,0,0,0,4,17,34,277,215,492
169800.0,-656400.0,-656400,0,0,0,1,2,16,41,258,203,462
139400.0,-686800.0,-686800,0,0,0,0,0,21,36,231,216,419
173700.0,-652500.0,-652500,0,0,0,1,4,14,38,263,212,426
154900.0,-671300.0,-671300,0,0,0,0,4,15,35,261,213,442
222800.0,-603400.0,-603400,0,0,0,4,1,17,41,260,196,436
162500.0,-663700.0,-663700,0,0,0,0,5,21,40,243,218,418
157600.0,-668600.0,-668600,0,0,0,0,5,16,42,251,195,439
159400.0,-666800.0,-666800,0,0,0,0,5,22,30,287,186,439
175400.0,-650800.0,-650800,0,0,0,1,3,25,29,235,214,455
178500.0,-647700.0,-647700,0,0,0,1,5,20,39,222,196,455
161900.0,-664300.0,-664300,0,0,0,1,0,21,34,270,183,479
162900.0,-663300.0,-663300,0,0,0,1,0,23,28,256,213,451
154900.0,-671300.0,-671300,0,0,0,0,3,19,39,273,205,438
164900.0,-661300.0,-661300,0,0,0,1,1,18,37,259,196,466
159600.0,-666600.0,-666600,0,0,0,0,3,26,36,275,201,447
161900.0,-664300.0,-664300,0,0,0,0,2,23,52,247,217,466
190900.0,-635300.0,-635300,0,0,0,1,7,22,30,285,190,468
149900.0,-676300.0,-676300,0,0,0,0,0,19,36,257,210,526
159700.0,-666500.0,-666500,0,0,0,0,2,27,41,260,204,469
154000.0,-672200.0,-672200,0,0,0,0,2,24,46,258,186,454
154900.0,-671300.0,-671300,0,0,0,0,2,21,42,298,192,451
151200.0,-675000.0,-675000,0,0,0,0,1,21,50,257,193,461
197900.0,-628300.0,-628300,0,0,0,1,6,21,41,272,221,493
146300.0,-679900.0,-679900,0,0,0,0,2,22,37,269,165,460
150900.0,-675300.0,-675300,0,0,0,0,3,22,29,263,191,452
161900.0,-664300.0,-664300,0,0,0,0,4,19,39,272,217,445
154300.0,-671900.0,-671900,0,0,0,0,3,17,32,279,210,460
157600.0,-668600.0,-668600,0,0,0,0,2,19,47,266,230,430
148300.0,-677900.0,-677900,0,0,0,0,2,16,43,240,208,447
165600.0,-660600.0,-660600,0,0,0,1,2,12,36,286,193,464
155300.0,-670900.0,-670900,0,0,0,0,2,24,43,252,205,447
195100.0,-631100.0,-631100,0,0,0,2,4,18,32,261,209,440
171100.0,-655100.0,-655100,0,0,0,0,5,28,39,259,195,482
138100.0,-688100.0,-688100,0,0,0,0,0,16,38,254,191,465
171800.0,-654400.0,-655800,0,0,0,1,2,21,40,277,198,437
327600.0,-498600.0,-582100,0,0,1,1,6,14,35,243,200,441
159500.0,-666700.0,-666700,0,0,0,0,5,18,46,226,181,479
179600.0,-646600.0,-646600,0,0,0,2,1,9,43,252,201,458
179700.0,-646500.0,-646500,0,0,0,2,1,12,33,262,208,451
151100.0,-675100.0,-675100,0,0,0,0,2,17,38,258,212,461
151300.0,-674900.0,-674900,0,0,0,0,4,13,34,232,222,437
172500.0,-653700.0,-653700,0,0,0,1,3,18,34,256,197,475
146500.0,-679700.0,-679700,0,0,0,0,2,17,28,249,213,462
169900.0,-656300.0,-656300,0,0,0,0,4,28,37,283,220,444
191300.0,-634900.0,-634900,0,0,0,2,2,20,35,253,212,456
162800.0,-663400.0,-663400,0,0,0,1,0,20,29,258,225,444
165400.0,-660800.0,-660800,0,0,0,1,1,18,28,275,211,461
143300.0,-682900.0,-682900,0,0,0,0,1,21,30,252,195,463
141100.0,-685100.0,-685100,0,0,0,0,1,18,36,264,178,463
150700.0,-675500.0,-675500,0,0,0,0,3,21,34,263,188,444
176300.0,-649900.0,-649900,0,0,0,1,4,18,39,236,210,447
174400.0,-651800.0,-651800,0,0,0,2,1,15,26,236,203,438
141000.0,-685200.0,-685200,0,0,0,0,1,9,36,283,188,495
311700.0,-514500.0,-514500,0,0,1,0,4,22,41,264,204,445
145400.0,-680800.0,-680800,0,0,0,0,1,21,34,260,191,468
173200.0,-653000.0,-653000,0,0,0,1,3,20,33,271,198,453
154700.0,-671500.0,-671500,0,0,0,0,2,23,40,267,210,436
143500.0,-682700.0,-682700,0,0,0,0,1,25,29,263,192,432
173900.0,-652300.0,-652300,0,0,0,1,3,20,45,239,196,448
149500.0,-676700.0,-676700,0,0,0,0,3,17,37,249,195,452
153100.0,-673100.0,-673100,0,0,0,0,3,17,38,252,202,467
144900.0,-681300.0,-681300,0,0,0,0,1,23,32,253,206,432
154700.0,-671500.0,-671500,0,0,0,0,3,22,36,240,205,457
167600.0,-658600.0,-658600,0,0,0,1,1,21,39,259,202,449
183800.0,-642400.0,-642400,0,0,0,1,5,20,43,280,190,446
147000.0,-679200.0,-679200,0,0,0,0,3,13,35,257,206,437
152200.0,-674000.0,-674000,0,0,0,0,1,21,43,280,201,460
189300.0,-636900.0,-636900,0,0,0,1,6,23,34,254,206,467
314800.0,-511400.0,-511400,0,0,1,1,2,11,39,302,185,452
184200.0,-642000.0,-642000,0,0,0,1,5,18,36,259,211,473
174800.0,-651400.0,-651400,0,0,0,1,3,22,39,262,206,422
149600.0,-676600.0,-676600,0,0,0,0,2,23,38,238,191,460
157800.0,-668400.0,-668400,0,0,0,0,3,21,28,253,229,467
172000.0,-654200.0,-654200,0,0,0,1,3,15,46,266,207,416
143300.0,-682900.0,-682900,0,0,0,0,0,18,39,281,201,450
166700.0,-659500.0,-659500,0,0,0,1,2,23,31,248,188,455
140500.0,-685700.0,-685700,0,0,0,0,1,12,47,252,201,427
152400.0,-673800.0,-673800,0,0,0,0,3,17,35,299,202,425
180200.0,-646000.0,-646000,0,0,0,1,6,20,41,237,172,457
146500.0,-679700.0,-679700,0,0,0,0,1,19,42,259,188,470
163800.0,-662400.0,-662400,0,0,0,0,4,18,45,267,215,457
150200.0,-676000.0,-676000,0,0,0,0,3,25,33,238,195,422
191500.0,-634700.0,-634700,0,0,0,2,2,18,36,257,213,464
185100.0,-641100.0,-641100,0,0,0,1,4,26,33,304,209,429
190300.0,-635900.0,-635900,0,0,0,2,2,24,35,235,199,458
152400.0,-673800.0,-673800,0,0,0,0,3,25,33,271,193,415
201900.0,-624300.0,-624300,0,0,0,2,4,21,43,245,206,462
158600.0,-667600.0,-667600,0,0,0,0,4,24,37,232,193,468
145200.0,-681000.0,-681000,0,0,0,0,0,17,40,276,209,462
152900.0,-673300.0,-673300,0,0,0,0,3,23,33,268,167,491
161300.0,-664900.0,-664900,0,0,0,0,3,27,30,257,221,458
155900.0,-670300.0,-670300,0,0,0,0,5,13,32,223,217,470
321900.0,-504300.0,-504300,0,0,1,1,2,18,40,245,232,426
174200.0,-652000.0,-652000,0,0,0,1,3,21,39,236,194,474
173800.0,-652400.0,-652400,0,0,0,0,7,20,32,259,220,471
