total_prize_real,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
142500.0,-671900.0,-671900,0,0,0,0,0,21,40,243,204,446
155500.0,-658900.0,-658900,0,0,0,1,0,17,28,270,205,427
135300.0,-679100.0,-679100,0,0,0,0,0,17,41,243,184,442
210900.0,-603500.0,-603500,0,0,0,3,4,15,33,265,194,444
153200.0,-661200.0,-661200,0,0,0,0,3,13,44,285,203,441
149600.0,-664800.0,-664800,0,0,0,0,3,14,38,252,207,446
139200.0,-675200.0,-675200,0,0,0,0,0,18,35,240,223,422
154000.0,-660400.0,-660400,0,0,0,0,2,21,43,253,202,463
381200.0,-433200.0,-433200,0,0,1,3,6,22,45,255,209,443
321900.0,-492500.0,-492500,0,0,1,1,2,23,35,260,194,467
142600.0,-671800.0,-671800,0,0,0,0,1,21,40,260,185,428
144700.0,-669700.0,-669700,0,0,0,0,2,13,28,268,219,445
137200.0,-677200.0,-677200,0,0,0,0,1,16,34,273,173,449
146900.0,-667500.0,-669100,0,0,0,0,3,18,32,266,196,419
153500.0,-660900.0,-660900,0,0,0,0,3,21,30,262,205,455
176200.0,-638200.0,-638200,0,0,0,1,4,21,32,261,192,461
153100.0,-661300.0,-661300,0,0,0,0,4,16,31,262,200,457
148100.0,-666300.0,-666300,0,0,0,0,3,15,38,252,198,441
186300.0,-628100.0,-628100,0,0,0,1,5,22,41,281,199,444
165200.0,-649200.0,-649200,0,0,0,1,3,15,33,283,187,423
156900.0,-657500.0,-657500,0,0,0,0,3,26,33,251,191,476
319400.0,-495000.0,-495000,0,0,1,1,4,16,28,261,198,437
155900.0,-658500.0,-658500,0,0,0,1,1,16,34,233,195,432
166700.0,-647700.0,-647700,0,0,0,1,2,24,30,229,204,438
167400.0,-647000.0,-647000,0,0,0,1,2,22,42,246,176,452
192500.0,-621900.0,-621900,0,0,0,2,2,21,38,264,207,447
168900.0,-645500.0,-645500,0,0,0,1,2,20,40,257,198,436
148500.0,-665900.0,-665900,0,0,0,0,1,19,40,275,197,464
140000.0,-674400.0,-674400,0,0,0,0,0,11,36,258,216,478
168600.0,-645800.0,-645800,0,0,0,1,1,17,50,266,194,456
153700.0,-660700.0,-660700,0,0,0,0,3,14,42,271,205,456
170500.0,-643900.0,-643900,0,0,0,1,3,19,40,270,183,437
139500.0,-674900.0,-674900,0,0,0,0,2,16,36,242,185,431
143800.0,-670600.0,-670600,0,0,0,0,2,21,30,216,200,454
147300.0,-667100.0,-667100,0,0,0,0,1,22,42,251,199,440
156600.0,-657800.0,-657800,0,0,0,0,4,16,32,295,196,463
145200.0,-669200.0,-669200,0,0,0,0,2,24,43,240,162,444
147400.0,-667000.0,-667000,0,0,0,0,1,19,42,241,211,451
164400.0,-650000.0,-650000,0,0,0,1,3,10,39,284,181,442
163700.0,-650700.0,-650700,0,0,0,0,4,30,39,249,186,460
141600.0,-672800.0,-672800,0,0,0,0,1,18,35,264,174,480
143000.0,-671400.0,-671400,0,0,0,0,2,14,30,259,205,449
142600.0,-671800.0,-671800,0,0,0,0,1,14,38,252,201,468
148400.0,-666000.0,-666000,0,0,0,0,2,15,42,269,202,443
172300.0,-642100.0,-642100,0,0,0,1,3,15,39,274,206,441
150300.0,-664100.0,-664100,0,0,0,0,4,14,31,284,188,447
190100.0,-624300.0,-624300,0,0,0,2,2,23,37,245,205,434
157800.0,-656600.0,-656600,0,0,0,1,1,15,34,252,186,458
165000.0,-649400.0,-649400,0,0,0,1,1,17,30,262,215,462
147400.0,-667000.0,-667000,0,0,0,0,1,22,45,250,198,432
142200.0,-672200.0,-672200,0,0,0,0,1,13,43,245,206,449
165800.0,-648600.0,-648600,0,0,0,1,2,20,28,253,194,465
297400.0,-517000.0,-517000,0,0,1,0,2,16,41,257,202,441
152200.0,-662200.0,-662200,0,0,0,0,5,18,21,261,198,437
183700.0,-630700.0,-630700,0,0,0,2,2,18,31,271,198,422
176800.0,-637600.0,-637600,0,0,0,1,6,15,38,244,187,438
158800.0,-655600.0,-655600,0,0,0,0,3,23,44,249,202,455
