total_prize_real,net_profit_real,max_drawdown,total_cost,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
149600.0,-664800.0,-664800,814400,0,0,0,0,1,20,35,261,219,457
170000.0,-644400.0,-644400,814400,0,0,0,1,3,17,38,258,184,466
176700.0,-637700.0,-637700,814400,0,0,0,1,2,30,38,242,211,431
150500.0,-663900.0,-663900,814400,0,0,0,0,2,19,45,250,192,459
148600.0,-665800.0,-665800,814400,0,0,0,0,4,17,34,260,184,426
317900.0,-496500.0,-496500,814400,0,0,1,1,0,22,40,262,209,463
302200.0,-512200.0,-512200,814400,0,0,1,0,3,18,35,251,196,475
146000.0,-668400.0,-668400,814400,0,0,0,0,3,13,31,290,200,422
163800.0,-650600.0,-650600,814400,0,0,0,1,1,13,36,261,200,489
155900.0,-658500.0,-660500,814400,0,0,0,0,3,17,32,263,215,482
290100.0,-524300.0,-524300,814400,0,0,1,0,1,21,34,241,183,450
157000.0,-657400.0,-657400,814400,0,0,0,0,4,21,30,275,194,459
190100.0,-624300.0,-624300,814400,0,0,0,2,2,19,48,279,186,426
182300.0,-632100.0,-632100,814400,0,0,0,1,7,15,39,263,185,434
179500.0,-634900.0,-634900,814400,0,0,0,1,4,19,29,252,215,485
187900.0,-626500.0,-626500,814400,0,0,0,2,2,14,47,239,214,432
159600.0,-654800.0,-654800,814400,0,0,0,1,1,14,32,241,207,461
161100.0,-653300.0,-653300,814400,0,0,0,0,3,31,36,271,200,428
308200.0,-506200.0,-506200,814400,0,0,1,0,3,28,36,255,203,433
137200.0,-677200.0,-677200,814400,0,0,0,0,1,15,27,251,207,439
153900.0,-660500.0,-660500,814400,0,0,0,0,4,20,39,258,175,455
297500.0,-516900.0,-516900,814400,0,0,1,0,4,17,29,271,182,428
146500.0,-667900.0,-667900,814400,0,0,0,0,2,20,37,258,175,469
157400.0,-657000.0,-657000,814400,0,0,0,1,0,18,35,240,198,454
155100.0,-659300.0,-659300,814400,0,0,0,0,3,20,33,260,221,437
157300.0,-657100.0,-657100,814400,0,0,0,0,4,25,32,266,191,437
143500.0,-670900.0,-670900,814400,0,0,0,0,2,17,26,261,188,478
