total_prize_fixed,total_prize_real,net_profit_fixed,net_profit_real,max_drawdown,hit_6_1,hit_6_0,hit_5_1,hit_5_0,hit_4_1,hit_4_0,hit_3_1,hit_3_0,hit_2_1,hit_1_1
153200,153200.0,-661200,-661200.0,-661200,0,0,0,0,2,20,44,242,221,432
141200,141200.0,-673200,-673200.0,-673200,0,0,0,0,1,24,25,265,197,421
162100,162100.0,-652300,-652300.0,-652300,0,0,0,1,0,23,41,259,192,430
153100,153100.0,-661300,-661300.0,-661300,0,0,0,0,3,19,29,249,213,468
154700,154700.0,-659700,-659700.0,-659700,0,0,0,0,1,25,43,258,208,461
147300,147300.0,-667100,-667100.0,-667100,0,0,0,0,3,13,47,227,196,442
144500,144500.0,-669900,-669900.0,-669900,0,0,0,0,2,12,44,233,207,446
179600,179600.0,-634800,-634800.0,-634800,0,0,0,1,3,21,39,279,202,469
168200,168200.0,-646200,-646200.0,-646200,0,0,0,1,2,17,35,248,212,454
183900,183900.0,-630500,-630500.0,-630500,0,0,0,1,4,22,44,284,192,459
172200,13770050.0,-642200,12955650.0,-544900,0,1,0,1,4,20,32,261,189,435
156500,156500.0,-657900,-657900.0,-657900,0,0,0,1,0,23,26,269,177,454
150800,150800.0,-663600,-663600.0,-663600,0,0,0,0,4,19,37,248,180,440
171000,171000.0,-643400,-643400.0,-643400,0,0,0,1,2,21,36,258,205,450
198800,198800.0,-615600,-615600.0,-615600,0,0,0,2,5,15,30,268,208,464
175500,175500.0,-638900,-638900.0,-638900,0,0,0,1,1,27,40,271,202,464
156100,156100.0,-658300,-658300.0,-658300,0,0,0,0,3,22,40,232,209,455
149300,149300.0,-665100,-665100.0,-665100,0,0,0,0,2,21,36,224,213,451
136900,136900.0,-677500,-677500.0,-677500,0,0,0,0,1,17,35,242,177,457
191500,191500.0,-622900,-622900.0,-622900,0,0,0,2,2,19,41,245,216,442
154700,154700.0,-659700,-659700.0,-659700,0,0,0,0,3,22,35,275,186,464
156100,156100.0,-658300,-658300.0,-658300,0,0,0,0,2,26,47,228,211,435
182300,182300.0,-632100,-632100.0,-632100,0,0,0,1,6,23,25,237,209,444
155200,155200.0,-659200,-659200.0,-659200,0,0,0,0,1,20,37,259,233,479
152900,152900.0,-661500,-661500.0,-661500,0,0,0,0,5,19,37,253,167,442
191000,191000.0,-623400,-623400.0,-623400,0,0,0,2,4,13,38,240,218,418
154100,154100.0,-660300,-660300.0,-660300,0,0,0,0,1,19,31,303,220,482
149100,149100.0,-665300,-665300.0,-665300,0,0,0,0,3,18,27,274,203,439
161300,161300.0,-653100,-653100.0,-653100,0,0,0,0,3,26,51,252,195,439
155100,155100.0,-659300,-659300.0,-659300,0,0,0,0,3,21,46,252,192,443
140100,140100.0,-674300,-674300.0,-674300,0,0,0,0,2,14,44,251,188,406
156900,156900.0,-657500,-657500.0,-657500,0,0,0,0,3,23,40,274,184,463
154100,154100.0,-660300,-660300.0,-660300,0,0,0,0,3,19,36,236,210,469
153000,153000.0,-661400,-661400.0,-661400,0,0,0,0,4,22,33,278,184,416
164700,164700.0,-649700,-649700.0,-649700,0,0,0,0,7,17,38,250,201,427
141100,141100.0,-673300,-673300.0,-673300,0,0,0,0,1,14,49,247,182,452
151200,151200.0,-663200,-663200.0,-663200,0,0,0,0,1,24,54,235,197,435
170000,170000.0,-644400,-644400.0,-644400,0,0,0,1,5,17,34,247,164,453
180700,180700.0,-633700,-633700.0,-633700,0,0,0,1,5,23,34,231,198,460
143700,143700.0,-670700,-670700.0,-670700,0,0,0,0,2,14,28,301,197,438
157000,157000.0,-657400,-657400.0,-657400,0,0,0,0,3,15,43,267,227,437
176900,176900.0,-637500,-637500.0,-637500,0,0,0,1,5,19,33,252,193,447
197800,197800.0,-616600,-616600.0,-620500,0,0,0,2,4,14,48,282,191,450
144600,144600.0,-669800,-669800.0,-669800,0,0,0,0,2,22,33,272,175,436
136900,136900.0,-677500,-677500.0,-677500,0,0,0,0,1,17,34,232,208,409
154200,154200.0,-660200,-660200.0,-660200,0,0,0,0,3,24,26,273,208,437
183600,183600.0,-630800,-630800.0,-630800,0,0,0,2,2,15,29,236,203,478
177400,177400.0,-637000,-637000.0,-637000,0,0,0,1,4,15,32,253,228,457
150800,150800.0,-663600,-663600.0,-663600,0,0,0,0,2,17,36,255,212,469
141000,141000.0,-673400,-673400.0,-673400,0,0,0,0,1,14,33,265,207,447
168300,168300.0,-646100,-646100.0,-646100,0,0,0,1,4,18,25,253,177,472
313100,313100.0,-501300,-501300.0,-501300,0,0,1,1,3,22,28,234,178,433
145600,145600.0,-668800,-668800.0,-668800,0,0,0,0,2,11,43,249,210,447
142000,142000.0,-672400,-672400.0,-672400,0,0,0,0,1,20,39,247,188,441
138600,138600.0,-675800,-675800.0,-675800,0,0,0,0,1,20,27,247,190,451
298200,298200.0,-516200,-516200.0,-516200,0,0,1,0,2,18,38,270,209,418
